id,performed_move_id,t1_millis,t2_millis,t3_millis,question_one,question_two,question_three,session_id
67,13969,1664866222605,1664866237763,1664866245824,1,2,0,11055
66,13968,1664866155648,1664866192044,1664866199852,2,2,2,11055
65,13967,1664866107111,1664866111685,1664866118087,1,1,1,11055
64,13966,1664866084290,1664866087169,1664866098835,1,1,1,11055
63,13965,1664866044790,1664866059642,1664866070204,0,2,2,11055
62,13964,1664866003929,1664866008512,1664866017785,1,1,1,11055
61,13963,1664865970559,1664865990307,1664865996775,1,1,1,11055
60,13963,1664865935723,1664865951808,1664865961915,1,0,0,11055
59,13961,1664865885920,1664865910226,1664865918035,2,2,2,11055
58,13960,1664865842974,1664865846964,1664865859365,0,0,0,11055
57,13959,1664865800277,1664865820526,1664865829035,0,0,2,11055
56,13958,1664865769687,1664865774262,1664865788268,1,1,1,11055
55,13957,1664865744654,1664865749228,1664865755318,1,1,1,11055
54,13956,1664865718937,1664865730073,1664865739807,1,1,1,11055
53,13955,1664865686744,1664865699253,1664865706926,1,1,1,11055
52,13954,1664865646425,1664865657136,1664865675101,0,2,2,11055
51,13953,1664865615754,1664865620327,1664865628535,1,1,1,11055
50,13952,1664865594136,1664865601978,1664865610353,0,2,2,11055
49,13952,1664865554925,1664865564641,1664865576135,0,2,2,11055
48,13950,1664865513010,1664865519425,1664865534107,0,0,1,11055
47,13949,1664865459831,1664865467183,1664865489329,1,1,1,11055
46,13948,1664865429373,1664865437534,1664865444380,1,1,1,11055
100,14003,1664871555880,1664871570394,1664871633210,2,2,2,11058
99,14002,1664871501612,1664871517970,1664871527672,2,2,2,11058
98,14001,1664871461548,1664871472827,1664871480352,1,1,1,11058
97,14000,1664871386107,1664871398264,1664871445485,2,2,2,11058
96,13999,1664871334766,1664871353079,1664871367466,2,2,2,11058
95,13998,1664871287654,1664871248286,1664871302128,1,1,1,11058
94,13997,1664871265715,1664871248286,1664871277542,1,1,1,11058
93,13996,1664871228665,1664871248286,1664871256350,2,2,2,11058
92,13995,1664871176480,1664871190163,1664871199199,2,2,2,11058
91,13994,1664871133437,1664871144916,1664871154962,2,2,2,11058
90,13993,1664871097634,1664871110368,1664871117501,1,1,1,11058
89,13992,1664871065401,1664871032646,1664871081670,1,1,1,11058
88,13992,1664871014363,1664871032646,1664871052584,2,2,2,11058
87,13990,1664870959863,1664870979866,1664870991408,0,0,0,11058
86,13989,1664870916791,1664870930744,1664870941863,1,2,2,11058
85,13988,1664870856350,1664870873307,1664870896782,2,2,2,11058
84,13987,1664870824045,1664870798625,1664870840629,1,1,1,11058
83,13986,1664870785505,1664870798625,1664870816746,1,1,1,11058
82,13985,1664870745814,1664870758241,1664870771357,1,1,1,11058
81,13984,1664870674382,1664870694614,1664870731676,2,2,2,11058
80,13983,1664870615929,1664870596843,1664870643712,1,1,1,11058
79,13982,1664870591016,1664870596843,1664870610730,2,2,2,11058
78,13981,1664870547583,1664870563541,1664870574107,2,2,2,11058
77,13980,1664870514815,1664870463135,1664870533158,2,2,2,11058
76,13979,1664870446749,1664870463135,1664870508283,2,2,2,11058
75,13978,1664870381098,1664870398501,1664870424237,2,2,2,11058
74,13977,1664870312428,1664870321712,1664870353258,1,1,1,11058
73,13976,1664870247994,1664870262297,1664870289924,1,2,2,11058
72,13975,1664870195896,1664870211547,1664870232613,1,1,1,11058
71,13974,1664870140307,1664870167468,1664870181627,1,1,1,11058
70,13973,1664870067516,1664870079272,1664870121824,2,2,2,11058
69,13972,1664870006308,1664870025335,1664870045624,1,1,1,11058
68,13972,1664869960876,1664869968765,1664869987809,2,1,2,11058
132,14036,1664877192651,1664877198480,1664877221415,0,1,0,11065
131,14035,1664877143650,1664877158953,1664877169124,1,1,1,11065
130,14034,1664877095107,1664877101069,1664877118987,2,1,2,11065
129,14033,1664876999245,1664877014002,1664877068198,1,1,2,11065
128,14032,1664876952088,1664876959271,1664876971652,1,1,1,11065
127,14031,1664876911221,1664876920602,1664876926637,1,1,1,11065
126,14030,1664876841829,1664876860819,1664876890453,1,1,1,11065
125,14029,1664876811801,1664876825308,1664876832849,1,1,1,11065
124,14028,1664876776643,1664876781225,1664876794959,1,1,1,11065
123,14028,1664876736078,1664876745211,1664876766098,1,1,2,11065
122,14026,1664876687093,1664876696772,1664876712218,1,1,1,11065
121,14025,1664876630317,1664876636867,1664876661591,1,2,2,11065
120,14024,1664876583071,1664876594204,1664876601731,1,1,1,11065
119,14023,1664876542219,1664876556651,1664876566000,0,1,0,11065
118,14022,1664876482050,1664876496231,1664876524451,1,0,1,11065
117,14021,1664876421605,1664876447635,1664876457431,1,1,2,11065
116,14020,1664876370812,1664876381034,1664876396332,1,1,2,11065
115,14019,1664876326762,1664876337713,1664876345466,1,1,1,11065
114,14018,1664876277652,1664876290098,1664876299770,1,1,1,11065
113,14017,1664876215993,1664876232948,1664876260398,1,2,1,11065
112,14016,1664876181583,1664876192736,1664876198313,1,1,1,11065
111,14015,1664876119173,1664876129771,1664876169079,0,1,1,11065
110,14014,1664876065723,1664876087963,1664876100269,1,1,1,11065
109,14013,1664876036651,1664876042153,1664876048816,0,1,0,11065
108,14013,1664875993465,1664876009908,1664876027103,1,1,2,11065
107,14011,1664875939255,1664875955637,1664875977763,2,1,2,11065
106,14010,1664875908311,1664875920638,1664875927281,1,1,1,11065
105,14009,1664875850949,1664875864925,1664875896508,0,0,0,11065
104,14008,1664875796635,1664875805284,1664875832047,1,1,2,11065
103,14007,1664875719716,1664875738630,1664875776719,0,0,1,11065
102,14006,1664875626270,1664875643385,1664875695030,0,1,1,11065
101,14005,1664875566851,1664875576597,1664875603441,1,1,2,11065
165,14070,1664880668614,1664880680207,1664880684447,1,1,1,11074
164,14069,1664880612538,1664880628858,1664880647730,1,1,1,11074
163,14068,1664880550916,1664880564606,1664880588972,1,2,2,11074
162,14067,1664880495021,1664880505860,1664880521349,1,1,1,11074
161,14066,1664880455904,1664880459973,1664880469320,0,1,1,11074
160,14065,1664880402738,1664880417185,1664880431420,1,1,1,11074
159,14064,1664880360284,1664880364293,1664880379792,1,1,1,11074
158,14063,1664880310603,1664880325460,1664880338556,2,2,2,11074
157,14062,1664880260904,1664880281458,1664880288726,2,1,1,11074
156,14061,1664880208072,1664880229679,1664880239496,1,2,2,11074
155,14060,1664880170040,1664880180218,1664880190179,1,1,1,11074
154,14059,1664880134324,1664880138905,1664880145911,1,1,1,11074
153,14059,1664880084829,1664880102956,1664880124252,0,1,2,11074
152,14057,1664880028768,1664880042058,1664880065822,1,0,2,11074
151,14056,1664879973177,1664879983485,1664880009523,1,1,1,11074
150,14055,1664879910340,1664879932230,1664879951889,0,0,0,11074
149,14054,1664879863694,1664879868267,1664879873810,0,1,1,11074
